epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,401.857,0.59112,1.17012,0.19251,0.70148,0.59641,0.63754,0.3846,0.40709,0.47885,0.1398,0.000475484,0.000475484,0.000475484
2,850.665,0.46431,0.49194,0.13379,0.7671,0.6351,0.68374,0.42367,0.37237,0.47299,0.12814,0.000942395,0.000942395,0.000942395
3,1227,0.45662,0.49267,0.132,0.73228,0.61975,0.68625,0.41398,0.38785,0.48944,0.13885,0.00139987,0.00139987,0.00139987
4,1578.49,0.46078,0.4962,0.12971,0.75395,0.67943,0.7198,0.4508,0.36959,0.45008,0.12553,0.00138656,0.00138656,0.00138656
5,1944.05,0.43386,0.47713,0.12083,0.78704,0.66108,0.72104,0.44698,0.3583,0.45397,0.1178,0.00137241,0.00137241,0.00137241
6,2389.68,0.41127,0.46882,0.11753,0.79172,0.70888,0.76833,0.48915,0.34634,0.44276,0.1189,0.00135826,0.00135826,0.00135826
7,2810.76,0.40665,0.46455,0.11187,0.79571,0.68036,0.74249,0.46745,0.35483,0.43515,0.12058,0.00134412,0.00134412,0.00134412
8,3161.89,0.39842,0.44991,0.11105,0.79801,0.75107,0.80228,0.50742,0.33394,0.4247,0.11241,0.00132997,0.00132997,0.00132997
9,3513.58,0.38318,0.44568,0.10525,0.82254,0.73322,0.80102,0.5063,0.33563,0.42875,0.11694,0.00131582,0.00131582,0.00131582
10,3865.53,0.38271,0.4508,0.10619,0.83315,0.73037,0.80241,0.49975,0.33247,0.42329,0.11061,0.00130168,0.00130168,0.00130168
11,4217.48,0.38052,0.44476,0.10371,0.80329,0.7503,0.8139,0.53398,0.31873,0.41557,0.10599,0.00128753,0.00128753,0.00128753
12,4569.99,0.37488,0.44154,0.10123,0.78805,0.73218,0.77917,0.50503,0.32621,0.41888,0.10872,0.00127338,0.00127338,0.00127338
13,4923.49,0.37617,0.44646,0.10296,0.8147,0.75566,0.81723,0.52844,0.31842,0.41516,0.10908,0.00125923,0.00125923,0.00125923
14,5275.46,0.37549,0.44203,0.10112,0.81692,0.76076,0.82377,0.53684,0.31306,0.41782,0.10477,0.00124509,0.00124509,0.00124509
15,5691.92,0.36957,0.43285,0.10021,0.81073,0.73658,0.80017,0.52483,0.31388,0.40931,0.10522,0.00123094,0.00123094,0.00123094
